Time;Central heat injection;Total network heat loss
0;17437.178;3759.629
900;18137.195;3627.4434
1800;18858.922;3623.6572
2700;19452.969;3609.6602
3600;19968.125;3599.3594
4500;20418.625;3590.8555
5400;20821.447;3584.0254
6300;21189.732;3578.3105
7200;21533.727;3573.4375
8100;21825.484;3567.8652
9000;22107.389;3564.5469
9900;22381.338;3561.2988
10800;22650.283;3558.2598
11700;22913.385;3555.3027
12600;23174.521;3552.5156
13500;23434.705;3549.83
14400;23694.146;3547.1074
15300;23956.775;3544.584
16200;24219.572;3541.8965
17100;24482.941;3539.2695
18000;24746.969;3536.6309
18900;24974.393;3532.877
19800;25202.434;3530.664
20700;25428.709;3528.3496
21600;25654.645;3526.1016
22500;25872.996;3523.6914
23400;26089.346;3521.5156
24300;26303.97;3519.3418
25200;2677.158;2676.8896
26100;3622.7622;3622.5994
27000;3692.873;3692.713
27900;3696.1692;3696.01
28800;3696.3008;3696.139
29700;3696.3037;3696.1418
30600;3696.3037;3696.1418
31500;3696.3037;3696.1418
32400;3696.3037;3696.1418
33300;3696.3037;3696.1418
34200;3696.3037;3696.1418
35100;3696.3037;3696.1418
36000;3696.3037;3696.1418
36900;3696.3037;3696.1418
37800;3696.3037;3696.1418
38700;3696.3037;3696.1418
39600;3696.3037;3696.1418
40500;3696.3037;3696.1418
41400;3696.3037;3696.1418
42300;3696.3037;3696.1418
43200;3696.3037;3696.1418
44100;3696.3037;3696.1418
45000;3696.3037;3696.1418
45900;3696.3037;3696.1418
46800;3696.3037;3696.1418
47700;3696.3037;3696.1418
48600;3696.3037;3696.1418
49500;3696.3037;3696.1418
50400;3696.4324;3696.1348
51300;3696.546;3696.1323
52200;3696.522;3696.137
53100;3696.5278;3696.1338
54000;3696.522;3696.1323
54900;3696.5278;3696.1338
55800;3696.522;3696.1323
56700;3696.728;3696.1204
57600;3696.752;3696.1213
58500;3696.752;3696.1262
59400;3696.752;3696.1252
60300;3696.752;3696.1206
61200;77534.41;18265.672
62100;58027.785;2783.7344
63000;56250.004;3390.3594
63900;55549.004;3395.4023
64800;55107.36;3403.3633
65700;54844.18;3409.0273
66600;54676.426;3412.5
67500;54605.45;3415.4023
68400;54592.457;3417.2578
69300;54627.18;3418.6133
70200;54698.645;3419.539
71100;54800.008;3420.1172
72000;54926.406;3420.4258
72900;55074.26;3420.5352
73800;55240.734;3420.4531
74700;55423.992;3420.25
75600;55621.984;3419.8633
76500;55833.2;3419.3516
77400;56095.047;3419.1602
78300;56286.547;3417.2969
79200;56352.156;2838.5625
80100;52956.47;3241.4023
81000;52044.508;3273.664
81900;51420.59;3282.3633
82800;48851.12;3251.6484
83700;50610.8;3370.2305
84600;51633.08;3415.2031
85500;52437.5;3394.871
86400;53272.23;3393.0312
87300;54023.156;3388.875
88200;54781.504;3388.0508
89100;55542.836;3387.0078
90000;56290.746;3385.1758
90900;56879.035;3379.8594
91800;57470.383;3379.414
92700;58052.535;3378.3945
93600;58625.09;3377.3203
94500;59180.445;3375.8125
95400;59743.2;3375.1836
96300;60296.96;3373.8398
97200;60844.402;3372.5664
98100;61463.8;3372.6836
99000;62073.39;3370.8398
99900;62624.66;3364.5977
100800;63221.797;3365.625
101700;63607.57;3358.918
102600;64149.098;3361.5117
103500;64589.164;3358.1797
104400;65024.508;3356.8125
105300;65528.945;3356.4883
106200;66024.36;3354.586
107100;66514.35;3352.8398
108000;67000.4;3351.1328
108900;67405.22;3348.3438
109800;67810.734;3346.9375
110700;68213.05;3345.5156
111600;2571.5537;2571.264
112500;3611.5469;3611.3848
113400;3692.3022;3692.1416
114300;3696.1575;3695.9968
115200;3696.3008;3696.139
116100;4277.6943;3668.8809
117000;5499.9204;4079.6729
117900;6063.698;3845.0964
118800;6549.835;3837.273
119700;6902.1357;3770.1309
120600;7211.7896;3755.1108
121500;7440.0444;3730.5806
122400;7632.104;3720.4014
123300;7921.274;3737.588
124200;8181.5044;3727.4634
125100;8442.038;3724.1978
126000;8695.351;3719.4028
126900;9107.054;3741.6006
127800;9500.7295;3730.9277
128700;9917.242;3727.9385
129600;10342.959;3722.1758
130500;10805.3125;3719.83
131400;11277.724;3713.3896
132300;11759.55;3707.0273
133200;12236.918;3699.25
134100;12815.415;3701.6543
135000;13394.385;3692.3633
135900;13987.42;3685.0527
136800;14589.59;3677.2168
137700;15257.981;3673.4932
138600;15869.833;3653.255
139500;16611.002;3660.874
140400;17232.957;3637.3066
141300;17716.586;3623.3223
142200;18347.803;3624.412
143100;18853.31;3612.0732
144000;19345.363;3605.58
144900;19813.195;3598.8125
145800;20599.887;3585.6133
146700;21598.994;3568.1348
147600;128075.33;7049.1875
148500;116033.875;3019.7031
149400;111671.2;3128.3438
150300;109817.71;3155.7188
151200;108389.33;3165.2656
152100;107154.85;3170.539
153000;106167.71;3177.9062
153900;105310.13;3182.5703
154800;104543.625;3186.5156
155700;103941.234;3190.6797
156600;103412.7;3193.5625
157500;102941.9;3196.1484
158400;102522.12;3198.4453
159300;102216.984;3201.0156
160200;101947.15;3202.5078
161100;101713.66;3203.9453
162000;101511.234;3205.2031
162900;101410.586;3206.6953
163800;101331.65;3207.336
164700;101277.36;3207.8594
165600;83584.44;2629.3906
166500;85478.03;3394.4062
167400;84487.73;3208.4766
168300;83747.21;3216.0547
169200;92450.31;3470.5234
170100;92061.61;3218.8203
171000;92085.84;3232.6406
171900;92062.13;3231.4297
172800;92112.94;3233.4531
173700;92121.01;3231.086
174600;92188.125;3232.9531
175500;92265.875;3233.0156
176400;92353.87;3233.1172
177300;92540.734;3234.375
178200;92696.016;3233.8438
179100;92853.44;3233.6406
180000;93012.44;3233.3906
180900;93016.59;3230.2812
181800;93054.516;3232.1562
182700;93063.516;3232.0156
183600;93067.22;3232.2344
184500;93064.04;3232.5156
185400;93055.41;3232.7812
186300;93041.93;3233.086
187200;93023.984;3233.3984
188100;93070.6;3234.1719
189000;93120.8;3234.2812
189900;93168.62;3234.336
190800;93215.555;3234.2969
191700;93195.09;3233.8594
192600;93166.85;3234.1016
193500;93136.69;3234.3906
194400;93103.17;3234.711
195300;93132.02;3235.5312
196200;93164.55;3235.6094
197100;93195.01;3235.6328
198000;2602.5046;2602.2117
198900;12418.715;6604.4907
199800;11805.09;3435.2969
200700;14038.91;3889.7861
201600;14990.403;3689.8877
202500;15710.717;3671.1934
203400;16135.692;3629.5264
204300;16689.33;3628.0586
205200;16835.61;3607.962
206100;17053.777;3604.7373
207000;17132.59;3596.378
207900;17153.002;3592.789
208800;17110.953;3589.7178
209700;17522.582;3597.2305
210600;17610.014;3588.1504
211500;18212.666;3588.3545
212400;18587.72;3577.3662
213300;19044.693;3589.1768
214200;19432.729;3600.9648
215100;19900.246;3609.421
216000;20233.824;3598.8242
216900;20758.025;3611.3574
217800;21212.797;3604.789
218700;21670.832;3603.0156
219600;22131.014;3601.1719
220500;22922.361;3624.7578
221400;23718.723;3618.0137
222300;24544.713;3614.3848
223200;25392.314;3609.7754
224100;26488.822;3618.4668
225000;27625.44;3610.9082
225900;28757.457;3602.5938
226800;29955.186;3596.5645
227700;30667.688;3566.67
228600;31389.57;3563.9492
229500;32071.982;3558.1504
230400;32725.582;3553.3047
231300;33395.94;3550.4414
232200;34038.41;3545.7188
233100;34661.176;3541.543
234000;134404.61;5115.3438
234900;128341;3025.6016
235800;124624.98;3100.0078
236700;122085.01;3108.9922
237600;120296.37;3119.5
238500;118858.3;3125.914
239400;117655.41;3131.2188
240300;116672.47;3138.5312
241200;115728.555;3141.2812
242100;114961.64;3146.3828
243000;114292.42;3149.461
243900;113700.51;3153.0547
244800;113118.93;3154.7188
245700;112423.38;3157.1094
246600;111727.164;3160.0078
247500;111066.06;3163.0156
248400;110399.77;3164.2422
249300;110205.94;3170.5156
250200;109979.42;3171.0312
251100;109789.62;3172.2266
252000;91653.83;2763.461
252900;93996.69;3303.0781
253800;93220.25;3198.6094
254700;92542.15;3201.336
255600;101362.6;3380.8438
256500;101065.87;3188.6172
257400;101237.79;3200.4922
258300;101411.01;3199.836
259200;101623.08;3199.8203
260100;101848.46;3199.5078
261000;102050.55;3196.836
261900;102368.586;3198.3516
262800;102658.85;3197.2734
263700;102797.945;3195.4922
264600;102950.28;3195.3672
265500;103109.39;3195.0781
266400;103271.086;3194.7266
267300;103434.03;3194.3594
268200;103559.25;3192.9844
269100;103728.75;3193.5234
270000;103873.12;3192.9453
270900;104028.89;3192.6172
271800;104181.35;3192.211
272700;104335.086;3191.8203
273600;104490.05;3191.375
274500;104558.055;3190.4531
275400;104646.695;3190.4766
276300;104744.2;3190.3125
277200;104826.48;3190.086
278100;104910.65;3189.914
279000;104994.44;3189.7188
279900;105078.25;3189.5234
280800;105162.55;3189.3984
281700;105245.72;3189.1406
282600;105305.875;3187.8438
283500;105412.914;3188.7188
284400;7616.5166;2109.3682
285300;24156.469;7374.961
286200;22826.861;3305.3418
287100;25151.959;3717.4707
288000;26418.436;3610.0645
288900;27002.172;3575.5156
289800;27250.93;3557.6816
290700;27261.895;3546.664
291600;27050.023;3537.496
292500;26988.932;3548.039
293400;26809.25;3542.7305
294300;26589.482;3541.9414
295200;26302.053;3540.084
296100;26217.91;3552.998
297000;26127.828;3553.1992
297900;25993.22;3551.6191
298800;25857.068;3552.252
299700;26030.193;3570.164
300600;26214.258;3569.5547
301500;26422.146;3569.9043
302400;26629.102;3569.0938
303300;27146.615;3584.0938
304200;27703.928;3582.0996
305100;28299.785;3580.3906
306000;28926.04;3577.9023
306900;30051.893;3596.6914
307800;31233.854;3588.9785
308700;32446.838;3581.5918
309600;33723.33;3575.3008
310500;35236.63;3574.3086
311400;36786.24;3564.246
312300;38379.152;3554.711
313200;40011.355;3544.957
314100;40985.727;3514.2188
315000;42033.836;3513.6992
315900;42932.82;3502.0586
316800;43777.52;3492.1055
317700;44681.543;3491.0078
318600;45535.21;3483.4297
319500;46472.72;3481.7656
320400;140450.34;4519.5312
321300;136936.81;3001.6875
322200;135805.92;3052.1094
323100;135088.66;3056.4844
324000;133708.45;3066.75
324900;132505.27;3075.5547
325800;131463.53;3082.6875
326700;130582.36;3088.2422
327600;129862.57;3093.414
328500;129109.83;3095.4844
329400;128482.5;3098.75
330300;127957.2;3102.9531
331200;127410.79;3103.4922
332100;127069;3107.5781
333000;126687.34;3106.7656
333900;126430.02;3110.2422
334800;126128.35;3108.9844
335700;125924.34;3112.1562
336600;125716.28;3112.9844
337500;125532.87;3114.0156
338400;99300.98;2805.0625
339300;105145.15;3234.3672
340200;106137.586;3148.289
341100;106811.77;3146.3438
342000;118997.61;3268.3125
342900;118834.086;3118.7266
343800;118763.01;3122.7031
344700;118824.516;3123.9062
345600;118956.555;3124.6484
346500;119164.234;3123.0781
347400;119468.734;3124.75
348300;119700.61;3121.2422
349200;120048.58;3122.2188
350100;120235.19;3121.2812
351000;120372.89;3121.211
351900;120510.73;3121.2578
352800;120649.72;3121.2188
353700;120847.914;3121.2969
354600;121048.46;3120.8672
355500;121250.4;3120.4922
356400;121460.375;3120.0312
357300;121665.69;3119.5156
358200;121872.72;3119.0938
359100;122082.086;3118.5078
360000;122292.305;3117.9688
360900;122446.36;3117.4688
361800;122562.664;3116.5781
362700;122743.3;3117.336
363600;122848.74;3115.9531
364500;122999.29;3116.2188
365400;123135.34;3115.875
366300;123273.125;3115.6406
367200;123404.87;3115.3516
368100;123472.15;3114.9844
369000;123533.18;3115.0938
369900;123592.35;3115.1172
370800;26606.848;2457.5195
371700;35256.883;3946.8008
372600;33137.266;3421.084
373500;30302.357;3418.0234
374400;26409.473;3361.4023
375300;23382.256;3383.588
376200;20167.107;3334.5215
377100;16623.098;3333.3623
378000;13367.593;3486.8926
378900;11712.707;3500.627
379800;10065.543;3480.6611
380700;8367.509;3436.3262
381600;6615.43;3352.4023
382500;5934.6406;3497.8835
383400;5243.6553;3451.4983
384300;4761.2944;3496.0898
385200;4399.912;3570.5735
386100;3767.831;3688.5198
387000;3699.4268;3698.2415
387900;3697.3108;3696.114
388800;3697.269;3696.0781
389700;3697.275;3696.0781
390600;3697.269;3696.0781
391500;3697.275;3696.0781
392400;3697.269;3696.0781
393300;3697.275;3696.0781
394200;5588.0825;4164.4814
395100;7366.5195;4204.7056
396000;9012.326;4025.9473
396900;11633.773;4034.44
397800;14353.068;3896.9375
398700;17396.979;3793.8867
399600;23075.283;3893.1523
400500;25522.047;3698.6406
401400;27520.098;3651.8125
402300;29257.756;3620.4355
403200;30811.656;3599.168
404100;32099.76;3576.877
405000;33259.734;3564.625
405900;34349.6;3555.1133
406800;136057.6;5245
407700;129090.7;3028.0781
408600;125407.35;3097.164
409500;123349.555;3107.7422
410400;121959.68;3115.8438
411300;120916.42;3122.336
412200;120039.79;3126.836
413100;119351.12;3131.8125
414000;118752.38;3134.961
414900;118194.125;3135.6406
415800;117795.04;3140.0234
416700;117386.95;3140.9531
417600;117064.66;3143.4375
418500;116766.04;3144.9453
419400;116480.7;3145.3984
420300;116273.125;3147.5625
421200;116072.016;3148.5703
422100;115815.734;3149.1719
423000;115586.484;3150.4062
423900;115352.84;3149.8828
424800;93595.22;2766.5234
425700;99281.08;3260.5
426600;99634.805;3169.039
427500;99463.43;3170.414
428400;109034.15;3348.7422
429300;108586.18;3164.5156
430200;108678.32;3170.3203
431100;108882.04;3168.8516
432000;109205.97;3170.0547
432900;109543.1;3169.5781
433800;109864.18;3168.5703
434700;110169.22;3167.3594
435600;110530.81;3166.9062
436500;110712.375;3164.6562
437400;110919.32;3163.6328
438300;111151.37;3163.9922
439200;111357.2;3163.414
440100;111632.55;3163.25
441000;111897.58;3162.4062
441900;112161.56;3161.6562
442800;112423.96;3160.8672
443700;112620.74;3159.914
444600;112835.57;3159.461
445500;113035.18;3158.8281
446400;113179.164;3155.5156
447300;113435.85;3158.3828
448200;113621.766;3156.0781
449100;113756.97;3152.9453
450000;113943.4;3154.8203
450900;114113.97;3153.2812
451800;114269.87;3152.7422
452700;114480.12;3152.875
453600;114654.734;3152.1094
454500;114736.09;3151.1719
455400;114821.24;3151.0547
456300;114917.414;3150.8672
457200;17435.805;2288.6191
458100;31173.629;4648.082
459000;33110.906;3547.4883
459900;35386.12;3595.8242
460800;36953.305;3554.7695
461700;38322.535;3541.7148
462600;39371.355;3522.664
463500;40299.094;3516.789
464400;41012.54;3504.5625
465300;42035.19;3509.5078
466200;43006.64;3502.0977
467100;43988.28;3496.9922
468000;44849.145;3485.6953
468900;45620.145;3483.3203
469800;46196.098;3470.2227
470700;46892.625;3472.4492
471600;47552.02;3467.5547
472500;45243.754;3408.2188
473400;42161.797;3399.4531
474300;38781.24;3399.9727
475200;34883.027;3386.5762
476100;33831.48;3490.1875
477000;32936.477;3495.7852
477900;32239.328;3506.1543
478800;31692.258;3513.8633
479700;32089.604;3552.7422
480600;32668.203;3554.9805
481500;33402.777;3556.3496
482400;34266.125;3555.4492
483300;36923.727;3608.6602
484200;39819.703;3589.3555
485100;42836.883;3560.3906
486000;46046.723;3541.7695
486900;47744.47;3489.7188
487800;49101.29;3475.5
488700;50330.133;3465.5781
489600;51459.44;3457.1133
490500;52462.402;3448.8242
491400;53362.87;3441.996
492300;54202.84;3436.3555
493200;144877.42;4281.1562
494100;141352.02;2991.3281
495000;140237.94;3038.2188
495900;139513.84;3041.875
496800;139013.97;3044.9375
497700;138711.62;3047.3906
498600;138457.88;3049.2031
499500;137567.12;3055.375
500400;136732.27;3061.5781
501300;135881.95;3067
502200;135060.8;3072.4219
503100;134298.47;3076.2969
504000;133636.17;3080.7734
504900;132998.28;3082.6953
505800;132511.45;3087.0234
506700;131976.34;3087.7812
507600;131544.19;3091.1797
508500;131077.27;3091.5156
509400;130727.08;3094.8281
510300;130316.336;3093.9531
511200;101395.07;2805.6328
512100;107075.25;3222.7969
513000;107876.84;3140.25
513900;108425.41;3140.2188
514800;120676.805;3258.3047
515700;121176.086;3106.2422
516600;121586.84;3104.6562
517500;122029.87;3104.914
518400;121923.21;3104.8906
519300;121769.66;3107.125
520200;121648.445;3108.9766
521100;121584.836;3111.1484
522000;121523.96;3112.5547
522900;121462.79;3113.7422
523800;121412.46;3115.0312
524700;121362.89;3116.0781
525600;121324.195;3117.086
526500;121293.69;3118
527400;121258.266;3118.9219
528300;121217.72;3119.6719
529200;121180.87;3120.4766
530100;121125.48;3120.7344
531000;121109.41;3121.9219
531900;121076.81;3122.5625
532800;121043.234;3123.3047
533700;121005.68;3123.8516
534600;120945.75;3123.6562
535500;120906.49;3124.2656
536400;120889.64;3125.1797
537300;120854.77;3125.6484
538200;120818.96;3126.211
539100;120783.01;3126.664
540000;120746.72;3127.2031
540900;120686.16;3126.9688
541800;120643.305;3127.0312
542700;120621.85;3128.2266
543600;23286.406;2407.8633
544500;36210.83;4233.629
545400;38288.57;3536.207
546300;40308.76;3551.6914
547200;41624.02;3517.3633
548100;42345.582;3499.3438
549000;42679.44;3485.2344
549900;42863.152;3481.8008
550800;42817.184;3476.1523
551700;42656.684;3474.5195
552600;42396.5;3473.3203
553500;42064.195;3472.996
554400;41696.16;3475.5352
555300;41706.586;3486.5586
556200;41708.383;3485.6875
557100;41715.285;3486.0273
558000;41718.555;3486.0156
558900;41834.543;3488.9492
559800;41992.695;3489.2617
560700;42157.43;3488.6406
561600;42329.12;3487.9531
562500;42607.92;3486.004
563400;42992.938;3491.3281
564300;43280.605;3484.0898
565200;43610.004;3482.4883
566100;44393.203;3490.2266
567000;45438.992;3491.129
567900;46498.473;3485.3398
568800;47574.254;3479.918
569700;48852.61;3477.5508
570600;50134.754;3469.7383
571500;51481.25;3463.6328
572400;52818.402;3455.5078
573300;53712.33;3440.8672
574200;54529.203;3435.2734
575100;55306.742;3430.3594
576000;56049.812;3425.8516
576900;56790.96;3422.0312
577800;57499.504;3417.754
578700;58184.37;3413.8516
579600;146277.45;4164.078
580500;142800.05;2989.5781
581400;141788.03;3033.5156
582300;141111.48;3037.1719
583200;140688.95;3040.2656
584100;140308.53;3041.8125
585000;140040.38;3043.5312
585900;139848.77;3044.7031
586800;139695.69;3045.4844
587700;139569.3;3046.7656
588600;138846.05;3051.7344
589500;138115.38;3056.8594
590400;137429.02;3061.7656
591300;136745.11;3066.2812
592200;136120.78;3070.3438
593100;135518.19;3073.3438
594000;134978.84;3076.25
594900;134537.9;3078.9688
595800;134167.5;3081.875
596700;133760.89;3082.1719
597600;103567.086;2814.789
598500;109039.48;3205.0078
599400;110110.71;3140.1172
600300;110743.17;3136.3281
601200;110743.17;3136.3281
602100;110743.17;3136.3281
603000;110743.17;3136.3281
603900;110743.17;3136.3281
604800;110743.17;3136.3281
604800;110743.17;3136.3281
